Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Condition,Accuracy,Block,Date
1,1,1,0.751178,1.594873,0.256,1,1,2,20150427
1,1,0,0.267266,0.741606,0.064,1,0,2,20150427
1,0,0,0.213646,0.728248,0.064,1,1,2,20150427
1,1,1,0.100892,1.914861,0,1,1,2,20150427
1,0,0,0.605339,0.714844,0.256,0,1,2,20150427
1,1,1,1,0.581749,0,1,1,2,20150427
1,0,1,0.906524,0.608372,0.032,1,0,2,20150427
1,0,1,0.225245,0.728276,0,0,0,2,20150427
1,0,0,0.992468,0.501668,0.512,1,1,2,20150427
1,0,0,0.271259,0.92829,0.256,0,1,2,20150427
1,1,1,0.994179,0.661674,0.064,0,1,2,20150427
1,1,1,0.438204,1.453157,0.128,1,1,3,20150427
1,1,0,1,0.781633,0.128,0,0,3,20150427
1,0,1,0.074082,1.475109,0.032,1,0,3,20150427
1,0,0,1,0.888571,0.032,0,1,3,20150427
1,1,1,0.075413,0.848333,0.064,0,1,3,20150427
1,0,0,0.869256,0.768363,0.256,0,1,3,20150427
1,1,1,0.959574,0.635171,0.256,0,1,3,20150427
1,1,1,1,0.555089,0.256,1,1,3,20150427
1,0,0,1,0.581686,0,0,1,3,20150427
1,1,1,0.980869,0.528347,0,1,1,3,20150427
1,0,0,0.760495,0.901719,0.256,0,1,3,20150427
1,0,0,1,0.55507,0.064,1,1,3,20150427
1,0,0,1,0.888356,0.512,0,1,3,20150427
1,0,0,1,0.568319,0,1,1,3,20150427
1,1,1,1,0.555094,0,1,1,3,20150427
1,0,0,0.985053,0.568339,0.032,0,1,3,20150427
1,0,0,0.496768,0.621636,0,1,1,3,20150427
1,0,1,0.964898,0.555002,0.032,1,0,3,20150427
1,1,0,0.055448,0.634859,0.064,0,0,3,20150427
1,0,0,0,0.648267,0,0,1,3,20150427
1,0,0,0.942651,0.635201,0.256,1,1,3,20150427
1,1,1,0.12599,0.568299,0,1,1,3,20150427
1,0,0,0,0.595193,0.128,0,1,3,20150427
1,0,0,1,0.554807,0.512,0,1,3,20150427
1,1,0,0.110589,0.568284,0,0,0,3,20150427
1,0,0,0.152991,0.608726,0,0,1,3,20150427
1,0,1,0.160026,0.608232,0.128,1,0,3,20150427
1,0,1,0.070659,0.821875,0.064,1,0,3,20150427
1,1,1,1,0.435106,0.032,0,1,3,20150427
1,1,1,0.999123,0.488495,0.032,1,1,3,20150427
1,0,0,0,0.95506,0,0,1,3,20150427
1,0,0,0.283048,0.648428,0.064,0,1,3,20150427
1,1,1,0.971933,0.581559,0.128,0,1,3,20150427
1,0,0,1,0.488397,0.512,0,1,3,20150427
1,0,0,0.853094,0.62167,0.128,0,1,3,20150427
1,0,0,1,0.501595,0.032,0,1,3,20150427
1,0,0,1,0.408405,0.256,0,1,3,20150427
1,1,0,0.952158,0.794888,0.128,1,0,3,20150427
1,1,1,1,0.408602,0.512,0,1,3,20150427
1,0,0,1,0.434934,0.512,0,1,3,20150427
1,1,1,1,0.501775,0.512,0,1,3,20150427
1,1,0,0.264034,0.63514,0.256,0,0,3,20150427
1,1,1,1,0.421513,0,0,1,3,20150427
1,1,1,0.106406,0.608441,0.064,1,1,3,20150427
1,1,1,1,0.448304,0.512,1,1,3,20150427
1,0,0,0.91413,0.43515,0.128,0,1,3,20150427
1,0,0,1,0.461748,0.256,1,1,3,20150427
1,0,0,1,0.355033,0.512,1,1,3,20150427
1,1,1,0.989996,0.488381,0.032,0,1,3,20150427
1,0,1,0.950827,0.621676,0.128,1,0,3,20150427
1,1,0,1,0.647575,0.128,0,0,3,20150427
1,1,1,0.960144,0.327965,0.512,0,1,3,20150427
1,1,0,0,0.688212,0.032,1,0,3,20150427
1,0,1,1,0.448256,0,1,0,3,20150427
1,1,1,0,1.128226,0.256,0,1,3,20150427
1,0,0,0,0.781571,0.064,0,1,3,20150427
1,1,1,0.019321,0.661678,0.064,1,1,3,20150427
1,1,1,0,1.181783,0.032,0,1,3,20150427
1,1,1,0.979729,0.581647,0.256,0,1,3,20150427
1,0,0,1,0.634937,0.256,1,1,3,20150427
1,0,0,0.989426,0.515123,0.064,1,1,3,20150427
1,1,1,0.935235,0.475074,0.128,1,1,3,20150427
1,0,0,1,0.568344,0.512,1,1,3,20150427
1,0,0,0.012095,0.781559,0.032,0,1,3,20150427
1,0,0,1,0.394872,0.128,1,1,3,20150427
1,1,0,0,0.50167,0.064,1,0,3,20150427
1,1,0,1,0.555024,0.064,0,0,3,20150427
1,0,0,1,0.39461,0.512,1,1,3,20150427
1,0,1,0,0.581868,0.064,0,0,3,20150427
1,1,1,1,0.44841,0.032,1,1,3,20150427
1,1,1,1,0.421752,0.512,1,1,3,20150427
1,1,0,0.230188,0.555079,0.032,0,0,3,20150427
1,1,1,0.991517,0.288341,0.512,0,1,3,20150427
1,1,0,0.994179,0.461653,0,0,0,3,20150427
1,1,1,0.99437,0.528433,0.064,0,1,3,20150427
1,1,1,0.966989,0.435403,0,1,1,3,20150427
1,0,1,0,0.741688,0.064,1,0,3,20150427
1,1,1,1,0.381626,0.256,1,1,3,20150427
1,1,0,0.976306,0.621808,0.032,1,0,3,20150427
1,0,1,0,0.581738,0,1,0,3,20150427
1,1,1,1,0.635041,0,0,1,3,20150427
1,0,0,0,0.808182,0.128,0,1,3,20150427
1,0,0,0,0.648331,0.256,1,1,3,20150427
1,0,1,0.038335,0.528512,0.032,1,0,3,20150427
1,0,0,0.956341,0.408537,0.512,1,1,3,20150427
1,1,0,1,0.608347,0.128,0,0,3,20150427
1,1,1,1,0.341719,0.512,1,1,3,20150427
1,0,1,0,0.501737,0.064,0,0,3,20150427
1,1,1,1,0.328478,0.256,1,1,3,20150427
1,0,0,0.99513,0.475017,0.256,0,1,3,20150427
1,1,1,1,0.701654,0.256,1,1,3,20150427
1,1,1,1,0.36912,0.064,1,1,3,20150427
1,0,0,1,0.395258,0.128,1,1,3,20150427
1,0,0,0,0.555099,0.032,1,1,3,20150427
1,1,1,0.990567,0.355086,0.512,1,1,3,20150427
1,1,0,0,1.141714,0.128,1,0,3,20150427
1,0,1,0.253766,1.427558,0.064,1,0,4,20150427
1,0,0,0.296738,1.154804,0,0,1,4,20150427
1,1,1,1,0.555379,0.064,1,1,4,20150427
1,1,1,1,0.434042,0.064,1,1,4,20150427
1,1,1,0.969081,1.035073,0.256,1,1,4,20150427
1,1,1,1,0.43502,0.256,0,1,4,20150427
1,1,1,1,1.274851,0,1,1,4,20150427
1,1,1,0.037004,0.621609,0.064,0,1,4,20150427
1,1,1,0.986954,0.715035,0.032,0,1,4,20150427
1,1,1,1,0.501634,0.128,0,1,4,20150427
1,1,1,0.987334,0.621618,0.512,1,1,4,20150427
1,1,1,0.993799,0.5016,0.064,0,1,4,20150427
1,1,1,1,0.395038,0.128,1,1,4,20150427
1,0,1,0.122188,0.674906,0.032,1,0,4,20150427
1,0,0,1,0.434823,0.032,1,1,4,20150427
1,0,0,0.996841,0.435087,0.512,0,1,4,20150427
1,0,0,0.985433,0.408209,0.512,1,1,4,20150427
1,1,1,0.973074,0.381806,0.128,0,1,4,20150427
1,0,1,0.972313,0.581801,0.064,1,0,4,20150427
1,1,1,0.962806,0.541648,0.128,1,1,4,20150427
1,1,1,0.973644,0.435035,0.256,1,1,4,20150427
1,1,1,1,0.381719,0.512,1,1,4,20150427
1,0,0,1,0.541585,0.128,1,1,4,20150427
1,0,1,0.99494,0.355211,0,1,0,4,20150427
1,0,0,1,0.368398,0.512,1,1,4,20150427
1,1,1,1,0.44832,0.064,0,1,4,20150427
1,1,1,1,0.394918,0.256,0,1,4,20150427
1,0,0,1,0.395041,0.512,0,1,4,20150427
1,1,1,0.960524,0.421718,0.064,1,1,4,20150427
1,0,1,1,0.435014,0.032,0,0,4,20150427
1,1,1,1,0.421635,0.032,1,1,4,20150427
1,1,1,1,0.381665,0.512,0,1,4,20150427
1,1,1,0.987334,0.448411,0.064,1,1,4,20150427
1,0,0,1,0.421657,0.032,1,1,4,20150427
1,0,0,0.984482,0.421815,0.064,1,1,4,20150427
1,1,1,0.98125,0.421828,0.032,0,1,4,20150427
1,1,1,1,0.408191,0.064,0,1,4,20150427
1,1,0,1,0.568345,0.128,1,0,4,20150427
1,0,0,1,0.515609,0.256,0,1,4,20150427
1,0,0,0.286851,0.54183,0.032,0,1,4,20150427
1,1,0,0.552669,0.795071,0.032,0,0,4,20150427
1,0,0,0.95425,1.421586,0.032,0,1,4,20150427
1,1,1,0.991137,0.501844,0.512,1,1,4,20150427
1,1,1,1,0.354956,0,1,1,4,20150427
1,1,1,1,0.515007,0.512,0,1,4,20150427
1,1,1,1,0.355695,0.256,1,1,4,20150427
1,0,0,1,0.421771,0.064,0,1,4,20150427
1,1,1,1,0.32825,0.128,0,1,4,20150427
1,0,0,1,0.328128,0.512,1,1,4,20150427
1,1,0,1,0.368223,0.032,1,0,4,20150427
1,1,0,1,0.794899,0.256,0,0,4,20150427
1,0,0,1,0.341612,0.256,0,1,4,20150427
1,1,1,1,0.381657,0.032,1,1,4,20150427
1,1,1,1,0.341993,0.512,0,1,4,20150427
1,1,1,0.988665,0.315068,0.128,1,1,4,20150427
1,0,1,1,0.514985,0,1,0,4,20150427
1,0,0,1,0.635176,0.128,1,1,4,20150427
1,0,0,1,0.435022,0.512,0,1,4,20150427
1,0,1,0.972123,0.541785,0,0,0,4,20150427
1,0,1,1,0.421895,0,0,0,4,20150427
1,0,0,1,0.488275,0.256,1,1,4,20150427
1,0,1,1,0.581719,0.064,0,0,4,20150427
1,1,1,0.077884,0.688565,0.128,0,1,4,20150427
1,0,0,1,0.861735,0.256,1,1,4,20150427
1,0,0,1,0.595109,0.256,0,1,4,20150427
1,0,0,0.991708,0.435031,0.128,0,1,4,20150427
1,0,0,1,0.381648,0.256,1,1,4,20150427
1,1,1,1,0.301873,0.256,0,1,4,20150427
1,1,1,0.949496,0.448469,0,0,1,4,20150427
1,1,1,1,0.47522,0.512,1,1,4,20150427
1,1,1,1,0.488353,0,0,1,4,20150427
1,1,1,0.128462,0.60843,0,0,1,4,20150427
1,1,1,1,0.328265,0.256,1,1,4,20150427
1,1,1,0.990947,0.315278,0.512,0,1,4,20150427
1,0,0,0.106216,0.621695,0,0,1,4,20150427
1,1,0,0.097659,0.581821,0.032,1,0,4,20150427
1,0,1,0,0.981827,0.064,0,0,4,20150427
1,0,0,1,0.568519,0.256,0,1,4,20150427
1,0,0,1,0.501792,0.032,1,1,4,20150427
1,1,1,0.039476,0.635023,0,0,1,4,20150427
1,0,0,1,0.55561,0.128,0,1,4,20150427
1,0,0,0.009243,0.59501,0,1,1,4,20150427
1,0,0,1,0.341681,0.512,1,1,4,20150427
1,0,0,0.064955,0.54177,0.064,1,1,4,20150427
1,0,0,1,0.568577,0.128,0,1,4,20150427
1,0,1,0.075222,0.595095,0.064,0,0,4,20150427
1,0,1,0.957672,0.368381,0.032,0,0,4,20150427
1,0,0,0.042328,0.461843,0.128,1,1,4,20150427
1,0,0,0.049553,0.58189,0,1,1,4,20150427
1,1,1,0.12485,0.44839,0.032,0,1,4,20150427
1,0,0,0.416337,0.568563,0.128,1,1,4,20150427
1,0,1,0.143674,0.554874,0.128,0,0,4,20150427
1,1,0,0.20566,0.528343,0,1,0,4,20150427
1,0,0,1,0.555059,0.256,1,1,4,20150427
1,1,0,0.938848,0.515029,0,1,0,4,20150427
1,0,0,1,0.314971,0.512,0,1,4,20150427
1,1,0,0.034532,1.546934,0,0,0,5,20150428
1,0,1,0.088532,0.913997,0.128,0,0,5,20150428
1,1,1,1,0.661477,0.512,0,1,5,20150428
1,0,0,1,0.608085,0,0,1,5,20150428
1,0,0,0.065145,0.96801,0.064,0,1,5,20150428
1,0,1,0.187787,0.848056,0.128,0,0,5,20150428
1,1,1,1,0.581377,0.256,0,1,5,20150428
1,0,0,1,0.527338,0.512,1,1,5,20150428
1,0,1,0.716001,0.781489,0.032,0,0,5,20150428
1,1,0,0.183984,0.995044,0.032,1,0,5,20150428
1,0,0,0.528902,0.714801,0,1,1,5,20150428
1,0,1,0.039286,0.968037,0.256,0,0,5,20150428
1,1,0,0.879904,0.701116,0.064,0,0,5,20150428
1,0,0,0.581761,0.608219,0.064,0,1,5,20150428
1,0,0,0.334957,0.86168,0,0,1,5,20150428
1,1,0,0.287421,0.781487,0,1,0,5,20150428
1,0,1,0.892644,1.208114,0,0,0,5,20150428
1,0,1,0.482127,1.114838,0.032,0,0,5,20150428
1,0,0,1,0.661429,0.512,1,1,5,20150428
1,0,0,1,0.581531,0.512,1,1,5,20150428
1,0,0,1,0.67481,0.064,1,1,5,20150428
1,1,1,1,0.461515,0.128,0,1,5,20150428
1,1,1,1,0.56805,0.256,1,1,5,20150428
1,0,0,0.039476,0.954801,0.032,1,1,5,20150428
1,0,0,1,0.474773,0.256,0,1,5,20150428
1,0,0,1,0.528313,0.064,1,1,5,20150428
