Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,BlockNumber
1,0,0,3,1.146096872,0.608194581,0.126708972,2
1,0,0,3,0.627796788,0.343616796,0.126708972,2
1,1,1,4,1.057317598,0.495533144,0.126708972,2
1,1,1,3,2.250479576,0.592735269,0.126708972,2
1,1,1,4,1.533400832,0.856040304,0.126708972,2
1,0,0,2,1.479786426,1.167743145,0.126708972,2
1,1,0,1,2.52118895,0.255976333,0.126708972,2
1,0,0,3,0.894405113,0.55150419,0.126708972,2
1,0,0,2,0.658714978,0.543562488,0.126708972,2
1,0,0,2,1.464883381,1.223382483,0.126708972,2
1,1,1,3,0.888657013,0.399118426,0.126708972,2
1,1,1,2,1.089798635,0.248693493,0.126708972,2
1,0,0,2,1.178172143,1.640365841,0.126708972,2
1,0,0,3,0.661840452,0.439898594,0.126708972,2
1,0,0,2,0.911100796,0.575863117,0.126708972,2
1,1,1,3,0.745672685,0.328633412,0.126708972,2
1,1,1,4,1.171262245,1.240047261,0.126708972,2
1,1,1,4,1.045858697,0.727439461,0.126708972,2
1,0,0,3,1.111125312,0.383080246,0.126708972,2
1,1,1,3,0.673788324,0.775242337,0.126708972,2
1,0,0,3,0.733784419,0.344593312,0.126708972,2
1,1,1,3,0.872427271,0.336316881,0.126708972,2
1,0,0,3,0.925936871,0.391024043,0.126708972,2
1,0,0,3,0.927405779,0.31905588,0.126708972,2
1,1,1,3,0.850893532,0.327535111,0.126708972,2
1,0,0,3,0.881060556,0.368267646,0.126708972,2
1,1,1,3,0.93258963,0.313205445,0.126708972,2
1,1,1,4,1.081458237,0.719993739,0.126708972,2
1,0,0,4,0.753438662,0.335369994,0.126708972,2
1,0,0,4,0.699041442,0.295138534,0.126708972,2
1,0,0,4,0.687204405,0.296999343,0.126708972,2
1,1,1,3,0.956592927,0.992496428,0.126708972,2
1,1,1,4,0.928276264,0.656021059,0.126708972,2
1,1,1,4,0.791686024,0.344816172,0.126708972,2
1,1,1,4,0.69646271,0.286978906,0.126708972,2
1,0,0,4,0.717288475,0.255924882,0.126708972,2
1,0,0,4,0.843654265,0.270941514,0.126708972,2
1,1,1,4,0.764372002,0.247597558,0.126708972,2
1,1,1,4,0.696408636,0.399663465,0.126708972,2
1,1,0,1,1.113608059,1.887749745,0.126708972,2
1,0,0,4,0.805852941,0.335602987,0.126708972,2
1,1,1,4,1.437829839,0.496100627,0.126708972,2
1,0,0,4,0.585493202,0.263273222,0.126708972,2
1,0,0,4,0.579167917,0.248712605,0.126708972,2
1,1,1,4,0.773863064,0.256749769,0.126708972,2
1,1,1,2,0.681950856,0.127916346,0.126708972,2
1,1,1,4,0.62120526,0.263832056,0.126708972,2
1,1,1,4,0.583175882,0.232147255,0.126708972,2
1,1,1,4,0.578902652,0.223066608,0.126708972,2
1,0,0,4,0.582002724,0.256803977,0.126708972,2
1,1,1,4,0.80091745,0.231875744,0.126708972,2
1,0,0,4,0.661239299,0.208078184,0.126708972,2
1,1,1,4,0.767155159,0.263549944,0.126708972,2
